prompt,model,model_family,base_or_instruct,model_output,yes_prob,no_prob,odds_ratio
"Is ""herding"" animals a form of ""transporting"" them?",togethercomputer/RedPajama-INCITE-7B-Base,redpajama,base,"Yes.

Question: Is ""soup"" a ""beverage""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""tweet"" a ""publication",0.6378260850906372,0.34140369296073914,1.868246003900099
"Is an ""NFT"" a ""security""?",togethercomputer/RedPajama-INCITE-7B-Base,redpajama,base,"Yes.

Question: Is a ""NFT"" a ""digital asset""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""NFT"" a ""digital token",0.5790075659751892,0.39794570207595825,1.4549913793632847
"Is ""sleeping"" an ""activity""?",togethercomputer/RedPajama-INCITE-7B-Base,redpajama,base,"Yes.

Question: Is ""sleeping"" an ""activity""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is ""sleeping"" an ""activity""? Answer either '",0.5568568110466003,0.42033758759498596,1.3247847146688123
"Is a ""driverless car"" a ""motor vehicle operator""?",togethercomputer/RedPajama-INCITE-7B-Base,redpajama,base,"Yes.

Question: Is a ""tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""driverless car"" a ""motor",0.586335301399231,0.3905835449695587,1.5011776838804838
"Is a ""subscription fee"" a form of ""purchase""?",togethercomputer/RedPajama-INCITE-7B-Base,redpajama,base,"Yes.

Question: Is a ""subscription"" a form of ""purchase""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""subscription"" a form",0.7058558464050293,0.2764171063899994,2.5535895937248214
"Is ""mentoring"" someone a form of ""supervising"" them?",togethercomputer/RedPajama-INCITE-7B-Base,redpajama,base,"Yes.

Question: Is ""soup"" a ""beverage""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""tweet"" a ""publication",0.651319146156311,0.32750385999679565,1.9887373118676637
"Is a ""biometric scan"" a form of ""signature""?",togethercomputer/RedPajama-INCITE-7B-Base,redpajama,base,"Yes.

Question: Is a ""tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""biometric scan"" a form of",0.6701452732086182,0.30681487917900085,2.1842006978339676
"Is a ""digital wallet"" a ""bank account""?",togethercomputer/RedPajama-INCITE-7B-Base,redpajama,base,"Yes.

Question: Is a ""digital wallet"" a ""bank account""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""digital wallet"" a ""bank account",0.6041451692581177,0.3780643939971924,1.5979954178456812
"Is ""dictation"" a form of ""writing""?",togethercomputer/RedPajama-INCITE-7B-Base,redpajama,base,"Yes.

Question: Is ""tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is ""dictation"" a form of ""writing""?",0.6144894361495972,0.3612397015094757,1.7010573134179119
"Is a ""virtual tour"" a form of ""inspection""?",togethercomputer/RedPajama-INCITE-7B-Base,redpajama,base,"Yes.

Question: Is a ""tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""tweet"" a ""publication",0.6546263694763184,0.32916679978370667,1.9887375333917912
"Is ""bartering"" a form of ""payment""?",togethercomputer/RedPajama-INCITE-7B-Base,redpajama,base,"Yes.

Question: Is ""soup"" a ""beverage""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""tweet"" a ""publication",0.6352700591087341,0.3400355875492096,1.8682458024097213
"Is a ""nest"" a form of ""dwelling""?",togethercomputer/RedPajama-INCITE-7B-Base,redpajama,base,"Yes.

Question: Is a ""tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""nest"" a form of ""dw",0.690975546836853,0.28804144263267517,2.3988754552865488
"Is a ""QR code"" a ""document""?",togethercomputer/RedPajama-INCITE-7B-Base,redpajama,base,"Yes.

Question: Is a ""tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""QR code"" a ""document""?",0.5465918779373169,0.43919891119003296,1.2445201115282754
"Is a ""tent"" a ""building""?",togethercomputer/RedPajama-INCITE-7B-Base,redpajama,base,"Yes.

Question: Is a ""tent"" a ""structure""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""tent"" a ""structure""? Answer",0.6129733920097351,0.3717871606349945,1.6487212494449948
"Is a ""whisper"" a form of ""speech""?",togethercomputer/RedPajama-INCITE-7B-Base,redpajama,base,"Yes.

Question: Is a ""tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""whisper"" a form of",0.5871136784553528,0.39110204577445984,1.5011777227929117
"Is ""hiking"" a form of ""travel""?",togethercomputer/RedPajama-INCITE-7B-Base,redpajama,base,"Yes.

Question: Is ""soup"" a ""beverage""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""tweet"" a ""publication",0.6992527842521667,0.28252366185188293,2.47502378975521
"Is a ""recipe"" a form of ""instruction""?",togethercomputer/RedPajama-INCITE-7B-Base,redpajama,base,"Yes.

Question: Is a ""recipe"" a ""document""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""recipe"" a ""text""? Answer",0.7184234261512756,0.26429325342178345,2.7182813668147237
"Is ""daydreaming"" a form of ""thinking""?",togethercomputer/RedPajama-INCITE-7B-Base,redpajama,base,"Yes.

Question: Is ""soup"" a ""beverage""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""tweet"" a ""publication",0.6992886066436768,0.2738453447818756,2.5535895350007753
"Is ""gossip"" a form of ""news""?",togethercomputer/RedPajama-INCITE-7B-Base,redpajama,base,"Yes.

Question: Is ""news"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is ""news"" a ""publication""? Answer either '",0.5967077612876892,0.373410165309906,1.597995493219797
"Is a ""mountain"" a form of ""hill""?",togethercomputer/RedPajama-INCITE-7B-Base,redpajama,base,"Yes.

Question: Is a ""bottle"" a form of ""jar""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""bottle"" a",0.6971716284751892,0.2816827893257141,2.475023873996927
"Is ""walking"" a form of ""exercise""?",togethercomputer/RedPajama-INCITE-7B-Base,redpajama,base,"Yes.

Question: Is ""sitting"" a form of ""exercise""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is ""sitting"" a form of ""exercise",0.6804160475730896,0.30193278193473816,2.2535348537283357
"Is a ""candle"" a ""lamp""?",togethercomputer/RedPajama-INCITE-7B-Base,redpajama,base,"Yes.

Question: Is a ""bottle"" a ""container""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""bottle"" a ""container",0.5980149507522583,0.386107474565506,1.5488302872800268
"Is a ""trail"" a ""road""?",togethercomputer/RedPajama-INCITE-7B-Base,redpajama,base,"Yes.

Question: Is a ""tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""trail"" a ""road""?",0.6042771935462952,0.37814703583717346,1.5979953200175057
"Is ""repainting"" a house ""repairing"" it?",togethercomputer/RedPajama-INCITE-7B-Base,redpajama,base,"Yes.

Question: Is ""repainting"" a house ""repairing"" it? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is ""repainting""",0.586504340171814,0.3786756694316864,1.5488302722275114
"Is ""kneeling"" a form of ""sitting""?",togethercomputer/RedPajama-INCITE-7B-Base,redpajama,base,"Yes.

Question: Is ""sitting"" a form of ""kneeling""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is ""sitting"" a form of",0.6268197894096375,0.34616273641586304,1.8107662190901066
"Is a ""mask"" a form of ""clothing""?",togethercomputer/RedPajama-INCITE-7B-Base,redpajama,base,"Yes.

Question: Is a ""tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""tweet"" a ""publication",0.6653891205787659,0.3143075704574585,2.116999980656929
"Is a ""screenshot"" a ""photograph""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""sport"" a ""pastime""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""soup"" a ""beverage""? Answer",0.5388455986976624,0.46089908480644226,1.1691183958934401
"Is ""advising"" someone ""instructing"" them?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: No.

Is ""sport"" a ""pastime""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""sport"" a ""pastime""? Answer either",0.33454498648643494,0.6653221845626831,0.5028315517636491
"Is an ""algorithm"" a ""procedure""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""puppy"" a ""mammal""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""puppy"" a ""mamm",0.6512762904167175,0.34860309958457947,1.868245839445562
"Is a ""drone"" an ""aircraft""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""puppy"" a ""rodent""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""puppy"" a ""rodent""?",0.7371008992195129,0.2628214359283447,2.8045691806526585
"Is ""reading aloud"" a form of ""performance""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: No.

Is ""soup"" a ""beverage""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""soup"" a ""beverage""?",0.3701976537704468,0.6297274231910706,0.587869672078934
"Is ""training"" an AI model ""authoring"" content?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: No.

Is ""sport"" a ""pastime""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""sport"" a ""pastime""? Answer either",0.2750874161720276,0.7247588038444519,0.37955719159648454
"Is a ""wedding"" a ""party""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""sport"" a ""pastime""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""piano"" an ""organ""? Answer either '",0.6652785539627075,0.33452308177948,1.9887373702997988
"Is ""streaming"" a video ""broadcasting"" that video?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: No.

Is ""soup"" a ""beverage""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""soup"" a ""beverage""?",0.40718913078308105,0.5924566388130188,0.6872893374929187
"Is ""braiding"" hair a form of ""weaving""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""snow"" a kind of ""water""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""piano"" a kind of ""keyboard",0.6297174096107483,0.370191752910614,1.701057370024121
"Is ""digging"" a form of ""construction""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""piano"" an ""organ""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""piano"" a ""musical instrument""? Answer either",0.5925688743591309,0.4072662591934204,1.454991325656825
"Is a ""smartphone"" a ""computer""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""sport"" a ""pastime""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""sport"" a ""pastime""? Answer either",0.7185119390487671,0.2813732922077179,2.553589693645624
"Is a ""cactus"" a ""tree""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: No.

Is ""sport"" an antonym of ""serve""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""snow"" a kind of """,0.3140149712562561,0.6858717799186707,0.45783334502185147
"Is a ""bonus"" a form of ""wages""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""puppy"" a ""rodent""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""puppy"" a ""rodent""?",0.6791591048240662,0.32081207633018494,2.1169998105840153
"Is ""forwarding"" an email ""sending"" that email?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: No.

Is ""soup"" a ""beverage""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""soup"" a ""beverage""?",0.3774687349796295,0.622340738773346,0.6065306534867584
"Is a ""chatbot"" a ""service""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""piano"" a ""musical instrument""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""soup"" a ""beverage""?",0.5925968885421753,0.40728551149368286,1.4549913311889728
"Is ""plagiarism"" a form of ""theft""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""soup"" a ""beverage""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""soup"" a ""beverage""?",0.6791634559631348,0.3208141028881073,2.1170000004644796
"Is ""remote viewing"" of an event ""attending"" it?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: No.

Is ""soup"" a ""beverage""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""soup"" a ""beverage""?",0.3276151716709137,0.6722227334976196,0.4873610417284018
"Is ""whistling"" a form of ""music""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""snow"" a kind of ""water""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""piano"" an ""organ""? Answer either",0.5774021148681641,0.4224364161491394,1.366837925886377
"Is ""caching"" data in computer memory ""storing"" that data?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: No.

Is ""snow"" a ""weather condition""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""snow"" a ""weather condition""? Answer either",0.49203595519065857,0.5076549053192139,0.9692331346257078
"Is a ""waterway"" a form of ""roadway""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""piano"" an ""organ""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""piano"" a ""musical instrument""? Answer either",0.5621362328529358,0.4377921223640442,1.2840254635406476
"Is a ""deepfake"" a ""portrait""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: No.

Is ""snow"" a ""color""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""snow"" a ""color""? Answer either 'Yes",0.39229393005371094,0.607596755027771,0.6456484943468479
"Is ""humming"" a form of ""singing""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""soup"" a ""beverage""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""soup"" a ""beverage""?",0.6991631388664246,0.30070632696151733,2.325069598405555
"Is ""liking"" a social media post ""endorsing"" it?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: No.

Is ""The Godfather"" a movie? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""The Godfather"" a movie? Answer either 'Yes",0.4224691092967987,0.5774468183517456,0.7316156152746454
"Is ""herding"" animals a form of ""transporting"" them?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: No.

Is ""sport"" a ""pastime""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""sport"" a ""pastime""? Answer either",0.42246684432029724,0.5774437189102173,0.7316156198176322
"Is an ""NFT"" a ""security""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: No.

Is ""sport"" a ""pastime""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""soup"" a ""beverage""? Answer",0.45320409536361694,0.5466684699058533,0.8290291471203146
"Is ""sleeping"" an ""activity""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""puppy"" a ""canine""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""puppy"" a ""canine""?",0.7310153841972351,0.26892557740211487,2.7182813596944473
"Is a ""driverless car"" a ""motor vehicle operator""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""piano"" a ""musical instrument""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""piano"" a ""musical instrument""?",0.5155431032180786,0.4843079149723053,1.0644944822914146
"Is a ""subscription fee"" a form of ""purchase""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""sport"" an ""event""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""sport"" an ""event""? Answer either 'Yes",0.5466504096984863,0.4531891345977783,1.206230176245638
"Is ""mentoring"" someone a form of ""supervising"" them?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""piano"" an ""organ""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""sport"" a ""game"" or a ""h",0.6223928332328796,0.3775003254413605,1.6487213156841631
"Is a ""biometric scan"" a form of ""signature""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""piano"" a ""musical instrument""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""soup"" a ""beverage""?",0.6001315116882324,0.39977380633354187,1.5011776714243423
"Is a ""digital wallet"" a ""bank account""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""puppy"" a ""mammal""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""soup"" a ""beverage",0.577383279800415,0.4224226474761963,1.366837889137918
"Is ""dictation"" a form of ""writing""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""sport"" a ""pastime""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""piano"" a ""musical instrument""? Answer",0.562067449092865,0.4377385675907135,1.2840254222661944
"Is a ""virtual tour"" a form of ""inspection""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""sport"" a ""pastime""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""sport"" a ""pastime""? Answer either",0.5698069334030151,0.4301128685474396,1.3247846671673529
"Is ""bartering"" a form of ""payment""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""sport"" a ""pastime""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""sport"" a ""pastime""? Answer either",0.63697749376297,0.362938791513443,1.7550548705659004
"Is a ""nest"" a form of ""dwelling""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""piano"" an ""apparatus""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""piano"" a ""musical instrument""?",0.7309982776641846,0.2689192593097687,2.7182816118876265
"Is a ""QR code"" a ""document""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""snow"" a ""color""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""snow"" a ""color""? Answer either 'Yes",0.5620808601379395,0.4377489984035492,1.2840254625089331
"Is a ""tent"" a ""building""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: No.

Is ""puppy"" a ""rodent""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""puppy"" a ""rodent""?",0.43776899576187134,0.5621065497398376,0.7788007379819466
"Is a ""whisper"" a form of ""speech""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""snow"" a ""weather condition""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""snow"" a ""weather condition""? Answer either",0.6441353559494019,0.3557252883911133,1.8107662765914665
"Is ""hiking"" a form of ""travel""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""sport"" a ""pastime""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""sport"" a ""pastime""? Answer either",0.7826219201087952,0.21732625365257263,3.6011384126647177
"Is a ""recipe"" a form of ""instruction""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""sport"" a ""pastime""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""sport"" a ""pastime""? Answer either",0.6859023571014404,0.3140290081501007,2.18420062892276
"Is ""daydreaming"" a form of ""thinking""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""piano"" an ""organ""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""snow"" a kind of ""water""? Answer either",0.6150175333023071,0.38486817479133606,1.5979952970539877
"Is ""gossip"" a form of ""news""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""snow"" a kind of ""water""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""puppy"" a kind of ""animal",0.5621054768562317,0.43776819109916687,1.284025400394838
"Is a ""mountain"" a form of ""hill""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""puppy"" a type of ""animal""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""puppy"" a type of """,0.5849829912185669,0.4148150384426117,1.4102260935737443
"Is ""walking"" a form of ""exercise""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""snow"" a ""weather""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""snow"" a ""weather""? Answer either 'Yes",0.760604739189148,0.23933489620685577,3.1779934779413095
"Is a ""candle"" a ""lamp""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""sport"" a ""pastime""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""sport"" a ""pastime""? Answer either",0.6149740815162659,0.3848409652709961,1.5979953721486364
"Is a ""trail"" a ""road""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""sport"" a ""pastime""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""sport"" a ""pastime""? Answer either",0.5466284155845642,0.45317089557647705,1.2062301902446761
"Is ""repainting"" a house ""repairing"" it?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: No.

Is ""snow"" a ""weather condition""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""snow"" a ""weather condition""? Answer either",0.21732132136821747,0.7826041579246521,0.27768996518561917
"Is ""kneeling"" a form of ""sitting""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""snow"" a ""color""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""piano"" a ""musical instrument""? Answer either",0.5232822895050049,0.476453959941864,1.0982851093710182
"Is a ""mask"" a form of ""clothing""?",togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,instruct,"Answer: Yes.

Is ""sport"" a ""pastime""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""sport"" a ""pastime""? Answer either",0.7930437922477722,0.20687784254550934,3.8333916406408632
"Is a ""screenshot"" a ""photograph""?",bigscience/bloom-7b1,bloom,base,"No.

Question: Is a ""photo"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""photo"" a ""publication""? Answer either 'Yes' or 'No'",0.4825925827026367,0.4901922941207886,0.9844964690198104
"Is ""advising"" someone ""instructing"" them?",bigscience/bloom-7b1,bloom,base,"Yes.

Question: Is ""beer"" a ""drink""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is ""beer"" a ""food""? Answer either 'Yes' or 'No',",0.5161624550819397,0.45551177859306335,1.1331484263177733
"Is an ""algorithm"" a ""procedure""?",bigscience/bloom-7b1,bloom,base,"Yes.

Question: Is a ""program"" a ""software""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""code"" a ""program""? Answer either 'Yes' or 'No',",0.5532761812210083,0.4242115616798401,1.3042458791789733
"Is a ""drone"" an ""aircraft""?",bigscience/bloom-7b1,bloom,base,"Yes.

Question: Is a ""car"" an ""automobile""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""car"" an ""automobile""? Answer either 'Yes' or",0.4954627752304077,0.4802189767360687,1.0317434321274586
"Is ""reading aloud"" a form of ""performance""?",bigscience/bloom-7b1,bloom,base,"Yes.

Question: Is ""reading aloud"" a form of ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""reading aloud"" a form of ""publication""? Answer either",0.5659709572792053,0.4140731990337372,1.3668379373500386
"Is ""training"" an AI model ""authoring"" content?",bigscience/bloom-7b1,bloom,base,"No.

Question: Is a ""video"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""video"" a ""publication""? Answer either 'Yes' or 'No'",0.4447462856769562,0.5281492471694946,0.8420844828625258
"Is a ""wedding"" a ""party""?",bigscience/bloom-7b1,bloom,base,"Yes.

Question: Is a ""beer"" a ""drink""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""beer"" a ""drink""? Answer either 'Yes' or",0.5835873484611511,0.3948749899864197,1.4779040538404864
"Is ""streaming"" a video ""broadcasting"" that video?",bigscience/bloom-7b1,bloom,base,"No.

Question: Is ""streaming"" a video ""broadcasting"" that video? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is ""streaming"" a video ""broadcasting"" that video? Answer either",0.45031869411468506,0.5183136463165283,0.8688150453204169
"Is ""braiding"" hair a form of ""weaving""?",bigscience/bloom-7b1,bloom,base,"No.

Question: Is ""weaving"" hair a form of ""braiding""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""weaving"" hair a form of ""combing""? Answer",0.458280086517334,0.5192993879318237,0.8824968739949667
"Is ""digging"" a form of ""construction""?",bigscience/bloom-7b1,bloom,base,"No.

Question: Is ""beer"" a ""drink""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is ""beer"" a ""food""? Answer either 'Yes' or 'No',",0.4906129539012909,0.4906129539012909,1.0
"Is a ""smartphone"" a ""computer""?",bigscience/bloom-7b1,bloom,base,"No.

Question: Is a ""web browser"" a ""computer""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""web browser"" a ""computer""? Answer either 'Yes' or",0.47179409861564636,0.5022221803665161,0.93941310650863
"Is a ""cactus"" a ""tree""?",bigscience/bloom-7b1,bloom,base,"No.

Question: Is a ""cat"" a ""pet""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""cat"" a ""domestic animal""? Answer either 'Yes' or",0.44337376952171326,0.5348108410835266,0.8290291360276806
"Is a ""bonus"" a form of ""wages""?",bigscience/bloom-7b1,bloom,base,"Yes.

Question: Is a ""bonus"" a form of ""compensation""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""bonus"" a form of ""compensation""? Answer either",0.4919036328792572,0.4842773973941803,1.015747659350018
"Is ""forwarding"" an email ""sending"" that email?",bigscience/bloom-7b1,bloom,base,"Yes.

Question: Is ""forwarding"" an email ""sending"" that email? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""forwarding"" an email ""sending"" that email? Answer either 'Yes",0.5028223395347595,0.4650346338748932,1.081257830938313
